Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage
Stripe,stripe.com,"Stripe is an online-based, payment processing platform that gives online merchants the ability to securely accept credit card payments through the use of custom-built forms.",United States,Product As A Service,2. Payments Initiation,2010,Mature,"1,950,940,000",Series G
Affirm,affirm.com,Affirm is a consumer finance company that seeks to provide shoppers with instant point-of-sale financing for online purchases. Affirm empowers shoppers to buy now and pay later in monthly installments and at reasonable interest rates through its transparent financing solutions.,United States,Product As A Service,1. Lending,2012,Emerging,"1,775,000,000",Series G+
Checkout.com,checkout.com,"Checkout.com helps companies accept more payments around the world through one integration. Its unified global payment processing platform features in-country acquiring, relevant payment methods, feature parity across geographies, fraud filters, and reporting features, via one API.",United Kingdom,Product As A Service,3. Cards,2012,Emerging,"830,000,000",Series C
Verafin,verafin.com,"Verafin provides a cloud-based, secure software platform for Fraud Detection and Management, BSA/AML Compliance and Management, High-Risk Customer Management and Information Sharing.On November 19, 2020 Verafin was acquired by NASDAQ at a valuation of $2.75B.",Canada,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2003,Mature,"448,430,000",Acquired
Plaid Technologies,plaid.com,"Plaid is a provider of API that power developer of financial services applications and help them connect with user bank accounts.On January 13th, 2020, Plaid was acquired by Visa at a valuation of $5.3B.",United States,Data Aggregators,9. Open Banking,2012,Nascent,"309,800,000",Series C
Prometeo,https://prometeoapi.com/,Open Banking platform for LATAM,,General BaaS Platforms,8. Developer Platforms,,,,
PPro,https://www.ppro.com/,"PPRO is a full-service partner for PSPs and payment providers in the e-payment environment as well as an e-money specialist for corporates and consumers. It offers services in both the Acquiring and the Issuing segments of the payment ecosystem. It is a registered e-money issuer and offers prepaid accounts (wallets + cards) to businesses and PSPs. Its cards include corporate expense, fleet and GPR cards. Its acquiring businesses offers acquiring, settlement and reconciliation services to PSPs which are international, i.e., supports alternative local payment methods.",United Kingdom,Product As A Service,2. Payments Initiation,2006,Mature,"280,000,000",Series C
Divvy,getdivvy.com,"Divvy is a secure financial platform for businesses to manage payments and subscriptions, build strategic budgets, and eliminate expense reports. By integrating real-time tracking for every business transaction, Divvy provides organizations with instant insight into their spend.",United States,Product As A Service,4. Wealth Management,2016,Mature,"667,500,000",Series D
Checkr,checkr.com,"Checkr offers a background checking service with a focus on the gig economy. Checkr captures criminal records, driving records, employment verifications for those the Bureau of Labor Statistics says are in alternative employment arrangements. Using Checkr's advanced background check technology, companies of all sizes can better understand the dynamics of the changing workforce, bring transparency and fairness to their hiring, and ultimately build a better future for workers.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2014,Mature,"309,000,000",Series D
Brex,brex.com,Brex is a B2B financial product provider that offers a corporate credit card for technology companies.,United States,Product As A Service,3. Cards,2017,Emerging,"765,120,000",Series C
Tipalti,tipalti.com,"Tipalti provides a cloud based technology platform aimed at mid-market companies, who have traditionally been underserved by banks, to streamline all phases of the global accounts payable workflow. The solution streamlines and optimizes businesses' end-to-end global payables workflow, while giving companies access to cross border payments, currency conversion, and payments across a wide range of methods.",United States,Product As A Service,15. Payments Processing,2010,Mature,"286,000,000",Series E
